"Product/Service Name","Variant Name","Quantity on hand","Item type","Single,parent or variant?","Category","SKU","Taxable","Option 1 name","Option 1 value","Option 2 name","Option 2 value","Option 3 name","Option 3 value","Option 4 name","Option 4 value","Option 5 name","Option 5 value","Price","Cost","Income Account","Expense Account","Inventory asset account","Sales Description","Purchase Description","Reorder Point"
"Broom Holder Wall Mount","Broom Holder Wall Mount",0,"Non-Inventory","Single",,,"No","","","","","","","","","","",,,"Services","","","Stainless Steel Heavy Duty Mop Holder Broom Mop Hanger Wall with Screws",,
"Browning Pillow Block Ball Bearing","Browning Pillow Block Ball Bearing",0,"Non-Inventory","Single",,"VPLS-216","No","","","","","","","","","","",,,"Services","","","2-Bolt Base, 1 in Bore, Cast Iron Material, Standard Duty, Non-Expansion Bearing (Fixed)
Manufacturing: VPLS-216",,
"Brush","Brush",0,"Service","Single",,,"Yes","","","","","","","","","","",,,"Services","Purchases","",,,
"Buna Cap Nut Gasket - 2072-B","Buna Cap Nut Gasket - 2072-B",0,"Non-Inventory","Single",,"2072-B","No","","","","","","","","","","",4.15,2.49,"Services","Purchases","","Shelco Buna Cap Nut Gasket, for use with FOS series","Shelco Buna Cap Nut Gasket, for use with FOS series",
"Buna Clamp Gasket ø1½ 40MPU Black Buna Sanitary Clamp Gasket","Buna Clamp Gasket ø1½ 40MPU Black Buna Sanitary Clamp Gasket",0,"Non-Inventory","Single",,"F4S001102","Yes","","","","","","","","","","",37.5,,"Sales","Cost of goods sold","","Specifications:","Specifications:",
"Buna Gasket ø¾, 42MPU","Buna Gasket ø¾, 42MPU",0,"Non-Inventory","Single",,"F4S001101","Yes","","","","","","","","","","",32.5,,"Sales","Cost of goods sold","","Specifications:","Specifications:",
"Bushing Bore Timing Belt Pulley- 24LB100 SS","Bushing Bore Timing Belt Pulley- 24LB100 SS",0,"Non-Inventory","Single","Belt:Belt Pulley","24LB100 SS","No","","","","","","","","","","",191.49,135,"Services","Purchases","","⅜ inch Pitch, 24 Tooth, 5/8 to 1 ⅜ inch Bore Dia., 2.835 inch OD, ⅜ inch Belt Width
Customer item: M22821","⅜ inch Pitch, 24 Tooth, 5/8 to 1 ⅜ inch Bore Dia., 2.835 inch OD, ⅜ inch Belt Width
Customer item: M22821",
"Bushing, XT25","Bushing, XT25",0,"Non-Inventory","Single",,"XT25","No","","","","","","","","","","",32.99,26.7,"Services","Purchases","","BSH XT25 -1-11/16","BSH XT25 -1-11/16",
"Bussmann Fuse, LPS-RK-150SP","Bussmann Fuse, LPS-RK-150SP",0,"Non-Inventory","Single","Fuse","LPS-RK-150SP","No","","","","","","","","","","",,,"Services","Purchases","","Class RK1, LPS-RK-SP Series, Time-Delay, 150 A, 600 V AC, 300 V DC, Non-Indicating","Class RK1, LPS-RK-SP Series, Time-Delay, 150 A, 600 V AC, 300 V DC, Non-Indicating",
"Bussmann Fuse, LPS-RK-175SP","Bussmann Fuse, LPS-RK-175SP",0,"Non-Inventory","Single","Fuse","LPS-RK-175SP","No","","","","","","","","","","",,,"Services","Purchases","","Class RK1, LPS-RK-SP Series, Time-Delay, 175 A, 600 V AC, 300 V DC, Non-Indicating","Class RK1, LPS-RK-SP Series, Time-Delay, 175 A, 600 V AC, 300 V DC, Non-Indicating",
"Bussmann Fuse- FRS-R-150","Bussmann Fuse- FRS-R-150",0,"Non-Inventory","Single",,"150 Amp, 600V, Class RK5,","Yes","","","","","","","","","","",,,"Services","","",,,
"Bussmann LPS-RK-225","Bussmann LPS-RK-225",0,"Non-Inventory","Single",,"225A, 600Vac, 300kA@600V AC, dual element, current limiting, time-delay fuses","Yes","","","","","","","","","","",,,"Services","","",,,
"C2080HSS A1 EVP 209P","C2080HSS A1 EVP 209P",0,"Non-Inventory","Single","Chain","38950","No","","","","","","","","","","",1537.11,2459.38,"Services","Purchases","","SS Chain, 420""Length, Db Pitch; PreStretched+Matched
Customer item: M15465","CL SET/2 EL2
SS Chain, 420""Length, Db Pitch; PreStretched+Matched",
"C2080HSS A1 EVP 365P","C2080HSS A1 EVP 365P",0,"Non-Inventory","Single",,"45949","No","","","","","","","","","","",2679.99,4286.34,"Services","Purchases","","SS Chain,732""Length, Db Pitch; PreStretched+ Matched
Customer item: M23104","CL SET/2 EL2
SS Chain,732"" Length, Db Pitch; PreStretched+ Matched",
"CAB Doors WHT, 3657223","CAB Doors WHT, 3657223",0,"Non-Inventory","Single",,"3657223","No","","","","","","","","","","",13946.25,11157,"Services","Purchases","","KIT DOOR SWG CAB W/HDL WHT ARCTIC","KIT DOOR SWG CAB W/HDL WHT ARCTIC",
"CLA CONNECTOR 90 DEGREEV, 40012139","CLA CONNECTOR 90 DEGREEV, 40012139",0,"Non-Inventory","Single",,"81050642 / 40012139","No","","","","","","","","","","",63.84,49.08,"Services","Purchases","","Stainless Steel
Customer item: M22845","Stainless Steel",
"CRC Food Grade Silicone, 10 Wt Oz, Multi-Purpose Silicone Lubricant","CRC Food Grade Silicone, 10 Wt Oz, Multi-Purpose Silicone Lubricant",0,"Non-Inventory","Single",,,"No","","","","","","","","","","",,,"Services","","","High Temperature Applications, NSF H1 Registered Aerosol Spray",,
"CURT CLOS PAD TOP PNYA GRAY S, 2122166","CURT CLOS PAD TOP PNYA GRAY S, 2122166",0,"Non-Inventory","Single",,"2122166","No","","","","","","","","","","",501.25,401,"Services","Purchases","","Upper Canopy","Upper Canopy",
"CURVE BELT ASSY C5036, ‭6800029042‬","CURVE BELT ASSY C5036, ‭6800029042‬",0,"Non-Inventory","Single",,"‭6800029042‬","No","","","","","","","","","","",3663.15,2747.36,"Services","Purchases","","SP15 SR 40L 6ED","SP15 SR 40L 6ED",
"Cam Follower","Cam Follower",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",,,"Services","Purchases","",,,
"Cam Follower , CYR-1-1/4 S CR","Cam Follower , CYR-1-1/4 S CR",0,"Non-Inventory","Single",,"CYR-1-1/4 S CR","Yes","","","","","","","","","","",74.7,64.95,"Services","Purchases","","CAM FOLLOWER CORROSION-RESISTANT
ø1¼"" 3/8"" BORE SHAFT- MOUNT SS440C
Item # M18683","YR-1-1/4-X-SS
CAM FOLLOWER CORROSION-RESISTANT
ø1¼"" 3/8"" BORE SHAFT- MOUNT SS440C
Item # M18683",
"Cam Follower - Corrosion Resistant, CAMROL Series, CF 3/4 SB CR","Cam Follower - Corrosion Resistant, CAMROL Series, CF 3/4 SB CR",0,"Non-Inventory","Single",,"CR-3/4-XB-AG/ CR12VBUU","No","","","","","","","","","","",19.99,10.81,"Services","Purchases","","¾ inch Roller Dia, ½ inch Roller Width, ⅜  inch Stud Dia, Sealed, Stainless Steel
Customer item: M692","¾ inch Roller Dia, ½ inch Roller Width, ⅜  inch Stud Dia, Sealed, Stainless Steel",
"Cam Follower - Corrosion Resistant, CR12-VBUU","Cam Follower - Corrosion Resistant, CR12-VBUU",0,"Non-Inventory","Single",,"CR12-VBUU","No","","","","","","","","","","",19.99,,"Services","Purchases","","¾ inch Roller Dia, ½ inch Roller Width, ⅜  inch Stud Dia, Sealed
Customer item: M13082","¾ inch Roller Dia, ½ inch Roller Width, ⅜  inch Stud Dia, Sealed
Customer item: M13082",
"Cam Follower,  CF-½-SB-CR","Cam Follower,  CF-½-SB-CR",0,"Non-Inventory","Single",,"CF-½-SB-CR","No","","","","","","","","","","",,,"Services","","","½"" Cam Follower, SS 440C, #10-32
Customer Item: M22700",,
"Cam Follower, CF 1-1/4 SB","Cam Follower, CF 1-1/4 SB",0,"Non-Inventory","Single","Bearings:Cam Follower","CF 1-1/4 SB","No","","","","","","","","","","",20.39,12.32,"Services","Purchases","","1.25 inch Roller Dia, 0.75 inch Roller Width, 0.5 inch Stud Dia, Sealed, Steel Material
Customer item: M8447","1.25 inch Roller Dia, 0.75 inch Roller Width, 0.5 inch Stud Dia, Sealed, Steel Material
Customer item: M8447",
"Cam Follower, CF-1-½-SB-CR","Cam Follower, CF-1-½-SB-CR",0,"Non-Inventory","Single",,"CF-1-½-SB-CR","No","","","","","","","","","","",115.99,70,"Services","Purchases","","1.5 inch Diameter, 0.875 inch Width, 0.25 inch Stud Diameter, Sealed, Stainless Steel
Customer item: M16548","1.5 inch Diameter, 0.875 inch Width, 0.25 inch Stud Diameter, Sealed, Stainless Steel
Customer item: M16548",
"Cam Follower, CR-1-1/2-XB-SS","Cam Follower, CR-1-1/2-XB-SS",0,"Service","Single","Bearings:Cam Follower","CF-1½ -SB-CR / CR-1-1/2-XB-SS","No","","","","","","","","","","",115.99,70,"Services","Purchases","","VI: CF-1½ -SB-CR / CR-1-1/2-XB-SS
SS, ø1½ OD, Sealed
Item : M16548","VI: CF-1½ -SB-CR / CR-1-1/2-XB-SS
SS, ø1½ OD, Sealed
Item : M16548",
"Cam Follower, CYR 1-¼ S, Stainless Steel","Cam Follower, CYR 1-¼ S, Stainless Steel",0,"Non-Inventory","Single",,"CYR 1-¼ S/ YR-1-1/4-X-AG","No","","","","","","","","","","",79.99,14.37,"Services","Purchases","","Flat Yoke Roller - 1.2500 in Roller Diameter, 0.3750 in Bore, 0.7500 in Roller Width, Sealed
Customer Item: M496","Flat Yoke Roller - 1.2500 in Roller Diameter, 0.3750 in Bore, 0.7500 in Roller Width, Sealed",
"Cam Follower, HR-3/4-XB-SS","Cam Follower, HR-3/4-XB-SS",0,"Non-Inventory","Single",,"HR-3/4-XB-SS","No","","","","","","","","","","",69.25,55,"Services","Purchases","","VI: HR-3/4-XB-SS / SCH-24-SB
SS, ø¾ ROLLER, 7/16-20 STUD, SEALED, HEA","VI: HR-3/4-XB-SS / SCH-24-SB
SS, ø¾ ROLLER, 7/16-20 STUD, SEALED, HEA",
"Cam Follower, SCH-24-SB","Cam Follower, SCH-24-SB",0,"Non-Inventory","Single",,"SCH-24-SB","No","","","","","","","","","","",69.25,55,"Services","Purchases","","Stainless Steel, HD, Sealed, Hex,  ø¾ ROLLER, 7/16-20 STUD
Customer item: M18354","Stainless Steel, HD, Sealed, Hex,  ø¾ ROLLER, 7/16-20 STUD
Customer item: M18354",
"Cam Lock, ¼ TURN","Cam Lock, ¼ TURN",0,"Non-Inventory","Single","Latch Locks","F4S001250-1","No","","","","","","","","","","",2.49,,"Sales of Product Income","","","Enclosure Latch, 316 SS
Customer Item# E14199",,
"Cam-Follower ø1½","Cam-Follower ø1½",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",24.99,,"Services","","","ø1½ 
CR24BUU",,
"Cam-Follower, CR-3/4-XB-SS","Cam-Follower, CR-3/4-XB-SS",0,"Non-Inventory","Single",,"SC-24-SB/ CR-3/4-XB-SS","No","","","","","","","","","","",69.99,60.25,"Services","Purchases","","0.75 inch Roller Dia, 0.5 inch Roller Width, 0.375 inch Stud Dia, 0.875 inch Stud Length, Stainless Steel
Customer item: M12337","0.75 inch Roller Dia, 0.5 inch Roller Width, 0.375 inch Stud Dia, 0.875 inch Stud Length, Stainless Steel
Customer item: M12337",
"Capacitor","Capacitor",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",20,12,"Services","Purchases","","For Motor, CAP 4 MFD 370 VAC","For Motor, CAP 4 MFD 370 VAC",
"Carousel Assembly Pallets Support U7500","Carousel Assembly Pallets Support U7500",0,"Non-Inventory","Single",,"U7500","No","","","","","","","","","","",,,"Services","Purchases","","PALLET SUPPORT, STD. PALLET, ASSEMBLY (INCLUDES BRONZE BUSHINGS, DRIVE DOG, UPPER AND LOWER SUPPORT WHEELS AND ASSOCIATED HARDWARE, ASSEMBLED)","PALLET SUPPORT, STD. PALLET, ASSEMBLY (INCLUDES BRONZE BUSHINGS, DRIVE DOG, UPPER AND LOWER SUPPORT WHEELS AND ASSOCIATED HARDWARE, ASSEMBLED)",
"Carousel Wheels, 800001","Carousel Wheels, 800001",0,"Non-Inventory","Single",,"PART #800001","No","","","","","","","","","","",15.86,11.75,"Services","Purchases","","4 inch OEM Yellow Carousel Wheels","4 inch OEM Yellow Carousel Wheels",
"Caster Wheel, 600 lb., 8 D x 2 In., 2RZJ9","Caster Wheel, 600 lb., 8 D x 2 In., 2RZJ9",0,"Non-Inventory","Single",,"2RZJ9","No","","","","","","","","","","",32.24,23.21,"Services","Purchases","","Hub Length: 2 7/16 inch, Fits Axle Dia. 1/2 inch, Wheel Dia.: 8 inch, Wheel Width: 2 inch, Bore Dia.: 1/2 inch, Axle Size: 1/2 inch","Hub Length: 2 7/16 inch, Fits Axle Dia. 1/2 inch, Wheel Dia.: 8 inch, Wheel Width: 2 inch, Bore Dia.: 1/2 inch, Axle Size: 1/2 inch",
"Certified GPU Cable Assembly, JB8816-80","Certified GPU Cable Assembly, JB8816-80",0,"Non-Inventory","Single",,"JB8816-80","No","","","","","","","","","","",,,"Services","Purchases","","80' 400 Hz 260 Amp Single Jacket ETL, JB7178X Nose, No PB'S","80' 400 Hz 260 Amp Single Jacket ETL, JB7178X Nose, No PB'S",
"Chain Guide Rail, VG-SSCG-#80-20","Chain Guide Rail, VG-SSCG-#80-20",0,"Non-Inventory","Single","Rail:Chain Guide","VG-SSCG-#80-20","No","","","","","","","","","","",0.8,0.6125,"Services","Purchases","","#80 Roller Chain Guide, 5/8 inch Width, 0.84 inch Height, 20 ft Overall Length
Customer item: M8989N","#80 Roller Chain Guide, 5/8 inch Width, 0.84 inch Height, 20 ft Overall Length
Customer item: M8989N",
"Chain Lubricator Pump, 400 ML","Chain Lubricator Pump, 400 ML",0,"Non-Inventory","Single","Chain:Chain Lubricator","40014912","No","","","","","","","","","","",,,"Services","Purchases","","CLA Pump 2A, 2 Output
Customer item: M22843","CLA Pump 2A, 2 Output",
"Chesterton 442-40, 5.00”, RSC/RSC/EP Split Seal","Chesterton 442-40, 5.00”, RSC/RSC/EP Split Seal",0,"Non-Inventory","Single","Bearing Isolator","687488","No","","","","","","","","","","",12396.25,9917,"Services","Purchases","","442-40, 5.00”, RSC/RSC/EP Split Seal","442-40, 5.00”, RSC/RSC/EP Split Seal",
"Climax Metal Products C200E-175","Climax Metal Products C200E-175",0,"Non-Inventory","Single","Power Lock","C200E-175","No","","","","","","","","","","",77.99,64.43,"Services","Purchases","","Cap Screw Clamping Keyless Bushing - C200 Series, 1.7500 inch ID, 2.9528 inch OD, 0.9450 inch LTB
Customer item: M3455","Cap Screw Clamping Keyless Bushing - C200 Series, 1.7500 inch ID, 2.9528 inch OD, 0.9450 inch LTB
Customer item: M3455",
"Climax Metal Products C200E-200","Climax Metal Products C200E-200",0,"Non-Inventory","Single","Power Lock","C200E-200","No","","","","","","","","","","",93.49,71.6,"Services","Purchases","","Cap Screw Clamping Keyless Bushing - C200 Series, 2.0000 inch ID, 3.3465 inch OD, 0.9450 inch LTB
Customer item: M3453","Cap Screw Clamping Keyless Bushing - C200 Series, 2.0000 in ID, 3.3465 in OD, 0.9450 in LTB
Customer item: M3453",
"Climax Metal Products, C200E-150","Climax Metal Products, C200E-150",0,"Non-Inventory","Single","Power Lock","C200E-150","No","","","","","","","","","","",66.49,53.77,"Services","Purchases","","Cap Screw Clamping Keyless Bushing - C200 Series, 1.5000 inch ID, 2.5591 inch OD, 0.7874 inch LTB
Customer item: M3440","Cap Screw Clamping Keyless Bushing - C200 Series, 1.5000 inch ID, 2.5591 inch OD, 0.7874 inch LTB
Customer item: M3440",
"Climax Metal Products, C200E-175-S","Climax Metal Products, C200E-175-S",0,"Non-Inventory","Single","Power Lock","C200E-175-S","No","","","","","","","","","","",263.99,219.95,"Services","Purchases","","Series C200 Locking Assembly
Customer item: M20596","Series C200 Locking Assembly
Customer item: M20596",
"Climax Metal Products, C200E-193","Climax Metal Products, C200E-193",0,"Non-Inventory","Single","Power Lock","C200E-193","No","","","","","","","","","","",88.29,67.9,"Services","Purchases","","C200 Series, 1.9375 inch ID, 3.1496 inch OD, 0.9450 inch LTB
Customer item: M13166","C200 Series, 1.9375 inch ID, 3.1496 inch OD, 0.9450 inch LTB
Customer item: M13166",
"Coalescing Filter Element, 51-230-40L","Coalescing Filter Element, 51-230-40L",0,"Service","Single",,"51-230-40L","No","","","","","","","","","","",52.99,39,"Services","Purchases","","-Bonded Microfiber Filter Element
-99.99% Removal of .01 Micron Liquids/Solid
-Alternate to Balston 200-35-SA","-Bonded Microfiber Filter Element
-99.99% Removal of .01 Micron Liquids/Solid
-Alternate to Balston 200-35-SA",
"Coalescing Filter Element, 51-230-50CS","Coalescing Filter Element, 51-230-50CS",0,"Non-Inventory","Single",,"51-230-50CS","No","","","","","","","","","","",52.99,39,"Services","Purchases","","-Bonded Microfiber Filter Element
-99.99% Removal of .01 Micron Liquids/Solid
-Alternate to Balston 200-35-BX","-Bonded Microfiber Filter Element
-99.99% Removal of .01 Micron Liquids/Solid
-Alternate to Balston 200-35-BX",
"Coalescing Filter Element, 51-230-70CS","Coalescing Filter Element, 51-230-70CS",0,"Non-Inventory","Single",,"51-230-70CS","No","","","","","","","","","","",52.99,39,"Services","Purchases","","-Bonded Microfiber Filter Element
-Borosilicate Glass / Silica Binder
-95% Removal of .01 Micron Liquids/Solids","-Bonded Microfiber Filter Element
-Borosilicate Glass / Silica Binder
-95% Removal of .01 Micron Liquids/Solids",
"Cogged Wedge V-Belt, 3VX800","Cogged Wedge V-Belt, 3VX800",0,"Non-Inventory","Single","Belt","3VX800","No","","","","","","","","","","",15,12,"Services","Purchases","","8 inch Top Width, 1 Strand, 80 inch Nominal Outside Length, Cogged","8 inch Top Width, 1 Strand, 80 inch Nominal Outside Length, Cogged",
"Cogged Wedge, V-Belt, 3VX710","Cogged Wedge, V-Belt, 3VX710",0,"Non-Inventory","Single","Belt","3VX710","No","","","","","","","","","","",13.38,10.7,"Services","Purchases","","3/8 inch Top Width, 1 Strand, 71 inch Nominal Outside Length","3/8 inch Top Width, 1 Strand, 71 inch Nominal Outside Length",
"Cogged Wedge, V-Belt, 3VX950","Cogged Wedge, V-Belt, 3VX950",0,"Non-Inventory","Single","Belt","3VX950","No","","","","","","","","","","",18.25,14.6,"Services","Purchases","","3/8 inch Top Width, 1 Strand, 95 inch Nominal Outside Length, Cogged","3/8 inch Top Width, 1 Strand, 95 inch Nominal Outside Length, Cogged",
"Cogged, Wedge V-Belt, 3VX430","Cogged, Wedge V-Belt, 3VX430",0,"Non-Inventory","Single",,"3VX430","No","","","","","","","","","","",,,"Services","Purchases","","43 in Outside Length, 3/8 in Top Width, 5/16 in Thickness","43 in Outside Length, 3/8 in Top Width, 5/16 in Thickness",
"Compatible HP 148X HY","Compatible HP 148X HY",0,"Non-Inventory","Single",,"W1480XCTA","No","","","","","","","","","","",383.99,,"Services","","","Black Toner Cartridge 5-Pack",,
"Connecting Link Attachment","Connecting Link Attachment",0,"Non-Inventory","Single","Roller Chain","#50 A1 SS Connecting Link","No","","","","","","","","","","",7.95,5.8,"Services","Purchases","","50 / 5/8 in Pitch, A-1 Attachment
Customer item: M11661","50 / 5/8 in Pitch, A-1 Attachment
Customer item: M11661",
"Connecting Link Attachment, # 40A1","Connecting Link Attachment, # 40A1",0,"Non-Inventory","Single","Roller Chain","# 40A1","No","","","","","","","","","","",6.64,2.35,"Services","Purchases","","40 / 1/2 in Pitch, A-1 Attachment, Spring Clip, Stainless Steel Material
Customer item: M115","40 / 1/2 in Pitch, A-1 Attachment, Spring Clip, Stainless Steel Material
Customer item: M115",
"Connecting Link, C2080H","Connecting Link, C2080H",0,"Non-Inventory","Single","Chain","C2080H","No","","","","","","","","","","",6.25,5,"Services","Purchases","",,,
"Connecting Pin, 25 FT Length","Connecting Pin, 25 FT Length",0,"Non-Inventory","Single",,"G712505128","No","","","","","","","","","","",122.39,101.99,"Services","Purchases","","Conveyor Belt Stainless Steel","Conveyor Belt Stainless Steel",
"Conveyor Belt ASSY 48C39 F45 27T PVOP LBSS","Conveyor Belt ASSY 48C39 F45 27T PVOP LBSS",0,"Non-Inventory","Single","Belt:Conveyor Belt","176342-316994/ 02-0000081","No","","","","","","","","","","",1855,1576.75,"Services","Purchases","","Conveyor No.: TC2-23
Model No.: 48C39-45
Serial No.: 176342-316994","Conveyor No.: TC2-23
Model No.: 48C39-45
Serial No.: 176342-316994",
"Conveyor Belt ASSY BELT ASSY 60HS57SP90","Conveyor Belt ASSY BELT ASSY 60HS57SP90",0,"Non-Inventory","Single","Belt","60HS57SP90","No","","","","","","","","","","",5606,4765.1,"Services","Purchases","","24ED SRFR 306L 40T","24ED SRFR 306L 40T",
"Conveyor Belt BELT ASSY 48C39 F90, 65101198","Conveyor Belt BELT ASSY 48C39 F90, 65101198",0,"Non-Inventory","Single","Belt:Conveyor Belt","65101198","No","","","","","","","","","","",2662,2262.7,"Services","Purchases","","PVOP 227L 27T","PVOP 227L 27T",
"Conveyor Belt BELT ASSY 48C39 SP45, 65101205","Conveyor Belt BELT ASSY 48C39 SP45, 65101205",0,"Non-Inventory","Single","Belt:Conveyor Belt","65101205","No","","","","","","","","","","",2189,1860.65,"Services","Purchases","","SRFR 116L 12ED","SRFR 116L 12ED",
"Conveyor Belt, 48C39, F45, 65101197","Conveyor Belt, 48C39, F45, 65101197",0,"Non-Inventory","Single","Belt:Conveyor Belt","65101197","No","","","","","","","","","","",1811,1539.35,"Services","Purchases","","PVOP 114.5L 27T","PVOP 114.5L 27T",
"Conveyor Belt, 5376087139V4","Conveyor Belt, 5376087139V4",0,"Non-Inventory","Single","Belt:Conveyor Belt","5376087139V4/ 906434","No","","","","","","","","","","",412.99,344.2,"Services","Purchases","","Width: 3 inch 2¼ inch, Color: Black,  87‐ ⅛ inch Length, For Postively Tracked Conveyor W/(2) Nylon Guides","Width: 3 inch 2¼ inch, Color: Black,  87‐ ⅛ inch Length, For Postively Tracked Conveyor W/(2) Nylon Guides",
"Conveyor Belt, 5376108539-0","Conveyor Belt, 5376108539-0",0,"Non-Inventory","Single","Belt:Conveyor Belt","5376108539-0","No","","","","","","","","","","",502.95,402.36,"Services","Purchases","","W/(2) NYLON GUIDES, E 8/2 U0/V15 LG-FR BLACK
Length: 2,759 mm/ 108.622 inch
Width: 972 mm
ADV Transilon With mech. fasteners HS
Cut-off angle: 90","W/(2) NYLON GUIDES, E 8/2 U0/V15 LG-FR BLACK
Length: 2,759 mm/ 108.622 inch
Width: 972 mm
ADV Transilon With mech. fasteners HS
Cut-off angle: 90",
"Conveyor Belt, 5376146157-0","Conveyor Belt, 5376146157-0",0,"Non-Inventory","Single","Belt:Conveyor Belt","5376146157-0","No","","","","","","","","","","",839.61,671.69,"Services","Purchases","","W/(2) NYLON GUIDES, E 8/2 U0/V15 LG-FR BLACK
Length: 146.13 inch
Width: 56.25 inch
Length: 3,712 mm
Width: 1,429 mm
ADV Transilon With mech. fasteners HS
Cut-off angle 90","W/(2) NYLON GUIDES, E 8/2 U0/V15 LG-FR BLACK
Length: 146.13 inch
Width: 56.25 inch
Length: 3,712 mm
Width: 1,429 mm
ADV Transilon With mech. fasteners HS
Cut-off angle 90",
"Conveyor Belt, 5376150157-0","Conveyor Belt, 5376150157-0",0,"Non-Inventory","Single","Belt:Conveyor Belt","5376150157-0","No","","","","","","","","","","",855.81,684.65,"Services","Purchases","","W/(2) NYLON GUIDES, E 8/2 U0/V15 LG-FR BLACK
Length: 3,810 mm
Width: 1,429 mm
ADV Transilon With mech. fasteners HS
Cut-off angle 90","W/(2) NYLON GUIDES, E 8/2 U0/V15 LG-FR BLACK
Length: 3,810 mm
Width: 1,429 mm
ADV Transilon With mech. fasteners HS
Cut-off angle 90",
"Conveyor Belt, E 12/2 U0/V6 GSTR-C-FR BLACK, 8112840736V4-0","Conveyor Belt, E 12/2 U0/V6 GSTR-C-FR BLACK, 8112840736V4-0",0,"Non-Inventory","Single","Belt:Conveyor Belt","8112840736V4-0","No","","","","","","","","","","",1538.23,1230.58,"Services","Purchases","","Length: 284.00 inch, Width: 36.00 inch, ADV Transilon: With mech. fasteners HS, Cut-off angle: 90","Length: 284.00 inch, Width: 36.00 inch, ADV Transilon: With mech. fasteners HS, Cut-off angle: 90",
"Conveyor Belt, E 8/2 U0/V15 LG-FR BLACK, 5376087539V4-0","Conveyor Belt, E 8/2 U0/V15 LG-FR BLACK, 5376087539V4-0",0,"Non-Inventory","Single","Belt:Conveyor Belt","5376087539V4-0","No","","","","","","","","","","",454.65,363.72,"Services","Purchases","","Length 2,226 mm, Width 972 mm, ADV Transilon With mech. fasteners HS, Cut-off angle 90, Mechanical Fastener HS-44 stainless complete","Length 2,226 mm, Width 972 mm, ADV Transilon With mech. fasteners HS, Cut-off angle 90, Mechanical Fastener HS-44 stainless complete",
"Conveyor Belt, E 8/2 U0/V15 LG-FR BLACK, 906434, 108.75 inch","Conveyor Belt, E 8/2 U0/V15 LG-FR BLACK, 906434, 108.75 inch",0,"Non-Inventory","Single","Belt","906434","No","","","","","","","","","","",503.19,402.55,"Services","Purchases","","Length: 108.75 inch, Width: 38.25 inch, Length: 2,762 mm, Width: 972 mm, Cut-off angle: 90, Long. profile on bottom face: K 13-V60 notched gre","Length: 108.75 inch, Width: 38.25 inch, Length: 2,762 mm, Width: 972 mm, Cut-off angle: 90, Long. profile on bottom face: K 13-V60 notched green",
"Conveyor Belt, E 8/2 U0/V15, 5376111039V4‐0","Conveyor Belt, E 8/2 U0/V15, 5376111039V4‐0",0,"Non-Inventory","Single","Belt:Conveyor Belt","5376111039V4‐0","No","","","","","","","","","","",529.99,408.35,"Services","Purchases","","FOR POSITIVELY TRACKED CONVEYOR, W/(2) NYLON GUIDES, LG-FR BLACK
Length: 2,819 mm/ 111 inch 
Width: 972 mm
Cut-off angle: 90
Mechanical Fastener HS-44 stainless complete","FOR POSITIVELY TRACKED CONVEYOR, W/(2) NYLON GUIDES, LG-FR BLACK
Length: 2,819 mm/ 111 inch 
Width: 972 mm
Cut-off angle: 90
Mechanical Fastener HS-44 stainless complete",
"Conveyor Belting Open Ends Laced with 375 Stainless Steel Fasteners Installed","Conveyor Belting Open Ends Laced with 375 Stainless Steel Fasteners Installed",0,"Non-Inventory","Single",,,"No","","","","","","","","","","",,,"Services","Purchases","","3 PLY, 3/16 X 1/16 INCHES MOR (#77A) 290FT LONG X 24” WIDE","3 PLY, 3/16 X 1/16 INCHES MOR (#77A) 290FT LONG X 24” WIDE",
"Conveyor Pulley 6” Diameter X 26” Wide With PXT 25B X 1-1/4” BUSHINGS With SHAFT 1-1/4” Diameter X 3","Conveyor Pulley 6” Diameter X 26” Wide With PXT 25B X 1-1/4” BUSHINGS With SHAFT 1-1/4” Diameter X 3",0,"Non-Inventory","Single",,,"No","","","","","","","","","","",,,"Services","Purchases","","Pulley Lagged With ½” SBR 60 Duro Rubber. FINISHED OD IS = 6.625” Diameter, Center Crown.","Pulley Lagged With ½” SBR 60 Duro Rubber. FINISHED OD IS = 6.625” Diameter, Center Crown.",
"Cooper Bussmann, LPJ-110SP","Cooper Bussmann, LPJ-110SP",0,"Non-Inventory","Single","Fuse","LPJ-110SP","No","","","","","","","","","","",,,"Services","Purchases","","110A, 600V, Low-Peak Time-Delay Fuse Class J","110A, 600V, Low-Peak Time-Delay Fuse Class J",
"Corrosion-Resistant Shaft-Mount Track Roller","Corrosion-Resistant Shaft-Mount Track Roller",0,"Non-Inventory","Single",,"7796K83","No","","","","","","","","","","",,,"Services","","","1-¼"" Roller Diameter, 3/4"" Roller Width
Customer item: M18683",,
"Corrosion-Resistant Threaded Track Roller 440C Stainless Steel, Flat","Corrosion-Resistant Threaded Track Roller 440C Stainless Steel, Flat",0,"Non-Inventory","Single",,"8043K77","No","","","","","","","","","","",,,"Services","Purchases","","1"" Roller Diameter, 5/8"" Roller Width
Customer Item: M18684","1"" Roller Diameter, 5/8"" Roller Width",
"Counselling","Counselling",0,"Non-Inventory","Single",,,"No","","","","","","","","","","",,,"Services","Purchases","",,,
